Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Short text clustering based on Pitman-Yor process mixture model","Applied Intelligence","","","","10.1007/s10489-017-1055-4","Jipeng QiangYun LiYunhao YuanXindong Wu","2017","http://link.springer.com/article/10.1007/s10489-017-1055-4","Article"
"Suspicious human activity recognition: a review","Artificial Intelligence Review","","","","10.1007/s10462-017-9545-7","Rajesh Kumar TripathiAnand Singh JalalSubhash Chand Agrawal","2017","http://link.springer.com/article/10.1007/s10462-017-9545-7","Article"
"Anomaly detection and classification using a metric for determining the significance of failures","Neural Computing and Applications","","28","6","10.1007/s00521-016-2570-7","Robin Babujee JeromeKimmo Hätönen","2017","http://link.springer.com/article/10.1007/s00521-016-2570-7","Article"
"Cyber-physical system","AI & SOCIETY","","","","10.1007/s00146-018-0802-3","Francesco GaribaldoEmilio Rebecchi","2018","http://link.springer.com/article/10.1007/s00146-018-0802-3","Article"
"Design of deep learning accelerated algorithm for online recognition of industrial products defects","Neural Computing and Applications","","","","10.1007/s00521-018-3511-4","Yufeng ShuYu HuangBin Li","2018","http://link.springer.com/article/10.1007/s00521-018-3511-4","Article"
"Improving semi-supervised co-forest algorithm in evolving data streams","Applied Intelligence","","","","10.1007/s10489-018-1149-7","Yi WangTao Li","2018","http://link.springer.com/article/10.1007/s10489-018-1149-7","Article"
"LPiTrack: Eye movement pattern recognition algorithm and application to biometric identification","Machine Learning","","107","2","10.1007/s10994-017-5649-1","Subhadeep MukhopadhyayShinjini Nandi","2018","http://link.springer.com/article/10.1007/s10994-017-5649-1","Article"
"Sparse learning of maximum likelihood model for optimization of complex loss function","Neural Computing and Applications","","28","5","10.1007/s00521-015-2118-2","Ning ZhangPrathamesh Chandrasekar","2017","http://link.springer.com/article/10.1007/s00521-015-2118-2","Article"
"A review on the application of structured sparse representation at image annotation","Artificial Intelligence Review","","48","3","10.1007/s10462-016-9502-x","Vafa MaihamiFarzin Yaghmaee","2017","http://link.springer.com/article/10.1007/s10462-016-9502-x","Article"
"Rule-based back propagation neural networks for various precision rough set presented KANSEI knowledge prediction: a case study on shoe product form features extraction","Neural Computing and Applications","","28","3","10.1007/s00521-016-2707-8","Zairan LiKai ShiNilanjan DeyAmira S. AshourDan WangValentina E. BalasPamela McCauleyFuqian Shi","2017","http://link.springer.com/article/10.1007/s00521-016-2707-8","Article"
