Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Big data analytics on Apache Spark","International Journal of Data Science and Analytics","","1","3 - 4","10.1007/s41060-016-0027-9","Salman SalloumRuslan DautovXiaojun ChenPatrick Xiaogang PengJoshua Zhexue Huang","2016","http://link.springer.com/article/10.1007/s41060-016-0027-9","Article"
"Scalable aggregation predictive analytics","Applied Intelligence","","","","10.1007/s10489-017-1093-y","Christos AnagnostopoulosFotis SavvaPeter Triantafillou","2017","http://link.springer.com/article/10.1007/s10489-017-1093-y","Article"
"Big Data Reduction Methods: A Survey","Data Science and Engineering","","1","4","10.1007/s41019-016-0022-0","Muhammad Habib ur RehmanChee Sun LiewAssad AbbasPrem Prakash JayaramanTeh Ying WahSamee U. Khan","2016","http://link.springer.com/article/10.1007/s41019-016-0022-0","Article"
"Social media analytics: a survey of techniques, tools and platforms","AI & SOCIETY","","30","1","10.1007/s00146-014-0549-4","Bogdan BatrincaPhilip C. Treleaven","2015","http://link.springer.com/article/10.1007/s00146-014-0549-4","Article"
"Big Data: from collection to visualization","Machine Learning","","106","6","10.1007/s10994-016-5622-4","Mohammed GhesmouneHanene AzzagSalima BenbernouMustapha LebbahTarn DuongMourad Ouziri","2017","http://link.springer.com/article/10.1007/s10994-016-5622-4","Article"
"Interactive machine learning for health informatics: when do we need the human-in-the-loop?","Brain Informatics","","3","2","10.1007/s40708-016-0042-6","Andreas Holzinger","2016","http://link.springer.com/article/10.1007/s40708-016-0042-6","Article"
"Bipartite-Oriented Distributed Graph Partitioning for Big Learning","Journal of Computer Science and Technology","","30","1","10.1007/s11390-015-1501-x","Rong ChenJia-Xin ShiHai-Bo ChenBin-Yu Zang","2015","http://link.springer.com/article/10.1007/s11390-015-1501-x","Article"
"One-pass MapReduce-based clustering method for mixed large scale data","Journal of Intelligent Information Systems","","","","10.1007/s10844-017-0472-5","Mohamed Aymen Ben HajKacemChiheb-Eddine Ben N’cirNadia Essoussi","2017","http://link.springer.com/article/10.1007/s10844-017-0472-5","Article"
"On Density-Based Data Streams Clustering Algorithms: A Survey","Journal of Computer Science and Technology","","29","1","10.1007/s11390-014-1416-y","Amineh AminiTeh Ying WahHadi Saboohi","2014","http://link.springer.com/article/10.1007/s11390-014-1416-y","Article"
"Survey of Large-Scale Data Management Systems for Big Data Applications","Journal of Computer Science and Technology","","30","1","10.1007/s11390-015-1511-8","Lengdong WuLiyan YuanJiahuai You","2015","http://link.springer.com/article/10.1007/s11390-015-1511-8","Article"
